raceId,max,UQ,median,mean,LQ,min
98,121147.5,91752,73291,86033.70370370371,72155,42759.5
99,82116.5,79031,77638,78914.17906976744,76974,73888.5
100,89330.0,84296,81733,85765.57287822878,80940,75906.0
101,80767.0,77644,76275,77843.47088186356,75562,72439.0
102,88443.0,84348,82521,84107.86751054852,81618,77523.0
103,147856.5,123930,109493,126997.63295269168,107979,84052.5
104,91823.5,86866,84467,86690.60398230089,83561,78603.5
105,101822.0,97601,95744,97479.70734126984,94787,90566.0
106,102304.0,97951,96191,97773.03798767967,95049,90696.0
107,80537.0,75917,73584,76011.63311688312,72837,68217.0
108,113063.0,99098,91575,99997.81688466112,89788,75823.0
109,104697.5,101153,99843,101998.90070921986,98790,95245.5
110,201572.5,132601,90571,104839.91377091377,86620,17648.5
111,89699.5,86743,85773,86954.64791288566,84772,81815.5
112,90600.5,85571,84068,89375.64994547438,82218,77188.5
113,75891.5,72743,71629,74695.39869888476,70644,67495.5
114,84460.0,79657,77584,80484.47304347825,76455,71652.0
115,83436.5,80015,78759,80029.38734419942,77734,74312.5
116,100638.0,96933,95562,96946.4405529954,94463,90758.0
117,83293.0,79894,78506,79642.01757188498,77628,74229.0
118,92284.5,87729,85703,90055.14385964912,84692,80136.5
119,84962.5,80335,78454,82703.95108077361,77250,72622.5
120,91901.0,87377,85283,86829.13734290843,84361,79837.0
121,90950.5,86386,84474,86474.21156211563,83343,78778.5
122,90015.5,80447,76397,79481.83923705723,74068,64499.5
123,102724.0,98434,96286,98206.5303197354,95574,91284.0
124,111418.0,100081,95083,107321.21708185054,92523,81186.0
125,107487.0,103647,102204,104512.2345276873,101087,97247.0
126,82492.5,79542,78578,80097.68421052632,77575,74624.5
127,92155.5,88662,87305,88293.34060228453,86333,82839.5
128,86277.5,84530,83921,85200.83023001095,83365,81617.5
129,80931.0,75474,73250,80723.66886792453,71836,66379.0
130,87293.0,83654,82450,83429.29637841832,81228,77589.0
131,84151.5,80457,79001,81926.65278868814,77994,74299.5
132,101141.0,97715,96400,97648.16109682948,95431,92005.0
