raceId,max,UQ,median,LQ,min
86,229367,123606,120207,118303,111453
87,2022173,76086,74876,74131,72268
88,335664,97991,95326,93964,91540
89,195180,100919,97105,95531,93242
90,1150467,90083,88097,86970,84125
91,156658,100807,97814,96595,94223
92,356806,95056,93486,92394,90252
93,118951,85147,83806,83054,80411
94,109599,81028,79948,79228,77450
95,165854,83804,79164,77118,74439
96,125378,94967,93271,92157,89468
97,175334,77600,76449,75396,73622
98,168379,91752,73291,72155,70399
99,106677,79031,77637,76974,75377
100,156583,84296,81733,80940,78739
101,149688,77644,76273,75562,73780
102,121186,84348,82521,81618,79071
103,463888,123930,109493,107979,105108
104,126256,86866,84467,83561,81046
105,150427,97601,95744,94787,92238
106,134620,97951,96186,95049,92730
107,112710,75917,73584,72837,71473
108,178163,99098,91575,89788,87724
109,335793,101153,99831,98790,96412
110,220057,132601,90571,86620,82032
111,183152,86743,85770,84772,82491
112,160693,85571,84068,82218,80143
113,156889,72743,71629,70644,68337
114,140491,79657,77574,76455,74545
115,219296,80015,78752,77734,76040
116,138204,96933,95562,94463,92621
117,119026,79894,78506,77628,75512
118,175466,87729,85703,84692,82236
119,423979,80335,78451,77250,74917
120,196623,87377,85278,84361,82095
121,191702,86386,84474,83343,81832
122,167667,80447,76397,74068,71473
123,163178,98434,96284,95574,93408
124,1174484,100081,95072,92523,88541
125,344193,103647,102204,101087,98049
126,641546,79542,78578,77575,76079
127,129367,88662,87298,86333,84170
128,152047,84530,83921,83365,80355
129,137557,75474,73250,71836,69298
130,284091,83654,82450,81228,78023
131,195442,80457,79001,77994,75960
132,174237,97715,96396,95431,92226
133,150501,98011,91696,87441,83083
134,171094,78316,77559,76623,75045
135,315810,80586,79482,78456,76462
136,116007,80933,79930,79012,76207
137,138288,112346,111481,110587,107176
138,510556,87884,86897,86055,83657
139,187383,76324,75418,74657,72738
140,509444,100341,99138,98087,96125
141,170345,99580,93178,91360,88214
142,257968,121015,111615,106137,100962
143,472855,90420,79734,78505,75693
144,224411,90311,89116,87932,85524
145,140004,86180,84400,83419,81151
146,446036,75498,73783,72662,70843
147,753601,85149,83351,82248,79424
148,342697,82011,80741,80042,77205
149,123022,81927,81230,80335,78354
150,172275,79749,78819,77950,76088
151,130352,88334,87070,85910,83405
152,152927,106078,105132,104208,101808
153,1169677,82049,80540,79365,76723
154,368912,116427,114191,112990,109758
155,163579,89397,88338,87215,85073
156,173435,77761,76717,75949,74448
157,188867,102000,100053,98862,96450
158,381969,96762,95046,94118,91481
159,139655,79070,78023,77027,74755
160,192437,90690,89907,89101,86523
161,170202,90185,89317,88662,86217
162,134527,87890,87267,86511,84470
163,141481,94789,93206,90881,82269
164,165302,85908,84779,83890,81571
165,261594,96491,82691,81611,79049
166,138601,83438,82603,81768,79479
167,564047,75658,74574,73885,71783
168,195109,117846,108257,107488,104300
169,294917,84680,83340,82278,80028
170,224570,123216,117963,116300,113803
